frame,time_s,person,L Knee Flex,R Knee Flex,L Hip Flex,R Hip Flex,L Elbow Flex,R Elbow Flex,L Shoulder Flex,R Shoulder Flex,Trunk Inclination
217,10.850000,0,175.8629,175.6786,161.4357,164.8674,163.0875,164.7235,19.8379,143.2203,9.1031
218,10.900000,0,175.1289,175.5901,161.0385,164.8520,162.4008,163.5215,20.2020,132.4644,8.9641
219,10.950000,0,174.7597,175.5221,161.0797,165.0269,161.7453,,20.6755,118.6464,8.5363
220,11.000000,0,174.2983,175.5204,161.8250,165.6296,162.1050,,20.5530,101.2886,7.9121
221,11.050000,0,174.6453,175.6116,163.2385,165.9375,162.3800,,20.3769,83.3900,7.2064
222,11.100000,0,174.5587,176.3219,163.8977,166.2959,161.2151,107.6508,20.4696,67.3283,6.8139
223,11.150000,0,174.4580,176.3776,164.3210,166.9007,160.3816,132.9390,20.3410,54.1012,6.1898
224,11.200000,0,174.5141,176.6467,164.7831,167.2102,159.3416,143.7803,20.3311,44.0798,5.6497
225,11.250000,0,174.1243,176.1340,164.9445,167.0869,160.9081,150.2937,19.7472,36.6417,5.2715
226,11.300000,0,173.9475,175.5832,164.9642,166.3655,161.2835,153.7474,19.4579,31.2333,5.2184
227,11.350000,0,174.2987,174.6235,164.9691,165.4127,161.9911,154.6955,19.0908,27.2022,5.4540
228,11.400000,0,174.2694,174.2685,164.6900,164.8165,163.4650,153.5270,19.7225,24.3240,5.8088
229,11.450000,0,174.2107,174.0144,165.0190,164.5043,165.0881,154.6834,21.2434,22.1056,5.9421
230,11.500000,0,175.3744,174.6256,166.4631,164.7231,166.6685,154.8373,24.4654,20.8354,5.8087
231,11.550000,0,175.6678,174.1244,167.3447,164.5169,166.2271,155.3657,30.7908,20.3783,5.6097
232,11.600000,0,174.9087,173.8221,166.8216,164.2114,,154.8479,40.5972,20.4825,5.6333
233,11.650000,0,174.6697,173.7035,166.2978,164.3263,,154.3402,55.9824,20.5027,5.5042
234,11.700000,0,174.5449,173.4768,166.2890,164.0378,,153.8687,71.4013,20.5863,5.6010
235,11.750000,0,175.1957,174.0575,166.7386,164.4567,133.6870,154.1614,88.1944,20.5236,5.4774
236,11.800000,0,175.3937,175.0140,167.0284,165.0440,174.0955,154.2364,103.9210,20.6697,5.3405
237,11.850000,0,175.7886,174.9128,167.8723,165.4347,161.9667,154.4345,115.6145,20.7199,4.9615
238,11.900000,0,176.1422,174.8130,168.2070,165.0098,161.0331,155.5619,125.6335,20.6366,5.1370
239,11.950000,0,176.3104,175.0864,168.7954,164.7789,161.4425,156.1705,132.9947,20.8451,5.4000
240,12.000000,0,176.0482,175.1129,169.0264,164.8118,162.2854,156.3015,139.6140,21.0473,5.5404
241,12.050000,0,176.0385,174.6325,168.8595,164.0490,161.0277,156.2990,144.1809,21.1529,6.0701
242,12.100000,0,175.8318,174.2667,168.8992,163.4052,159.1896,156.7721,149.0470,21.1458,6.4960
243,12.150000,0,175.8395,174.2211,168.6260,162.7732,155.6261,157.2460,153.3330,20.9341,6.9473
244,12.200000,0,176.1001,173.5023,168.3606,162.0012,154.4030,156.7267,155.9529,20.9661,7.4276
245,12.250000,0,175.9639,173.6125,168.2620,161.8585,155.1838,156.5132,158.5337,20.4898,7.5960
246,12.300000,0,175.6157,173.5343,168.0425,161.7437,157.6208,156.3928,160.1671,20.0089,7.7376
247,12.350000,0,176.1197,173.7967,168.5188,162.1348,159.6711,156.4070,160.6544,19.6503,7.6564
248,12.400000,0,176.3749,173.9973,168.2606,161.7048,161.3875,156.0562,159.2978,19.7050,7.8950
249,12.450000,0,176.8684,173.8705,167.6251,161.3250,162.5158,156.1311,155.9719,19.7549,8.1197
250,12.500000,0,176.6540,174.0925,168.1427,162.0266,165.8123,156.1991,150.5646,19.7868,7.6986
251,12.550000,0,177.2276,175.1036,168.7655,162.9430,167.7552,155.4466,141.7874,20.1576,7.1822
252,12.600000,0,177.7225,175.5108,169.3436,163.5535,168.9126,155.2060,130.4546,20.5096,6.9063
253,12.650000,0,177.6452,175.7671,169.3787,163.7472,172.4534,155.3539,116.9113,20.8336,6.8283
254,12.700000,0,177.7024,176.5815,169.3482,164.2296,174.5551,155.2957,101.7322,21.0723,6.5183
255,12.750000,0,177.7888,177.0637,169.3244,164.3708,,155.9171,85.7686,21.1872,6.3510
256,12.800000,0,177.5866,176.1363,169.4144,164.6530,159.2733,156.2483,71.7477,21.2722,5.9607
257,12.850000,0,177.8199,176.5505,169.7446,165.2127,168.5733,156.7230,60.2862,21.1957,5.6077
258,12.900000,0,178.2494,176.2929,169.7540,165.2740,170.0467,156.6852,51.2982,20.7402,5.4077
259,12.950000,0,178.3098,176.3479,168.7244,165.3263,169.1220,156.8620,43.4266,20.4574,5.6059
260,13.000000,0,177.8317,176.1776,167.7350,165.3391,168.3164,156.8371,36.7533,19.7891,5.7044
261,13.050000,0,176.9126,176.0491,167.0129,165.7978,168.8324,156.1909,31.3119,19.2305,5.6425
262,13.100000,0,176.2989,176.4394,166.6125,166.4042,170.3992,155.8044,26.9422,18.7285,5.3799
263,13.150000,0,176.1564,176.7162,166.5116,166.5655,170.5383,155.8153,23.9243,18.5674,5.3061
264,13.200000,0,176.1275,176.5728,166.7000,166.6669,170.2928,155.0338,21.8459,18.2911,5.2628
265,13.250000,0,175.5490,176.6383,166.5907,166.8961,170.9107,154.9795,21.5086,17.8741,5.2247
266,13.300000,0,176.2981,176.4853,167.2215,167.2413,171.2444,155.8137,22.9763,17.5110,4.9806
267,13.350000,0,176.3125,176.1969,167.5739,167.6275,173.2633,155.9725,26.2892,17.3845,4.7890
268,13.400000,0,176.5030,175.8014,168.0303,167.5687,174.6495,155.9403,31.5640,17.4784,4.5337
269,13.450000,0,176.6601,175.7023,168.6473,167.4783,172.7767,156.3333,39.6775,17.5012,4.3441
270,13.500000,0,176.8247,176.1311,169.2712,167.4426,,156.4493,51.9075,17.8506,3.9946
271,13.550000,0,176.4341,175.8803,168.5897,166.9469,,156.7363,66.2509,18.1513,4.3273
272,13.600000,0,176.4650,176.2221,168.6863,167.2235,,156.9541,82.1424,18.0072,4.3099
273,13.650000,0,177.0743,176.2453,169.5222,167.3849,,156.8920,98.5252,18.4230,4.1458
274,13.700000,0,176.6071,176.0570,169.6489,167.3501,105.4972,156.7223,111.7396,18.7706,4.2242
